ID,Posted at,Screen name,Text
807393504158687232,2016-12-10 01:16:26 +0000,header_labs,"RT @iFRIDAYi: SMILES CREATE SMILES HAVE @ GREAT DAY HAPPY #FRIDAY
#smile #entrepreneur #startup #elevate #share #angel #love #TGIF https://t.co/qSBHnE6kQO"
807393449368551426,2016-12-10 01:16:13 +0000,zpizza,#Friday feels. 🍕🍕 https://t.co/WW7JXp52ts
807393410713694208,2016-12-10 01:16:04 +0000,360residences,"#Friday night in #DTSJ? Give Paper Plane a try, you won't be disappointed.  🍹 (Photo: Yelp - Michelle W.) https://t.co/TGWfE8NzlJ"
807393405303226368,2016-12-10 01:16:03 +0000,M_thesaint,Chillin with @BobsBurgersFOX #friday
807393394096013313,2016-12-10 01:16:00 +0000,SDucreay,Got Milk!! #milk #muscles #fitness #fit #musclemilk #health #friday https://t.co/E1hSwfIpFT
807393351611781120,2016-12-10 01:15:50 +0000,tararan244,"RT @TOKYOGIANTS0917: 成宮寛貴 芸能界引退FRIDAYを許してはいけないFRIDAY廃刊するべき＃FRIDAY＃成宮寛貴 https://t.co/XyOET2GIPE"
807393322541182976,2016-12-10 01:15:43 +0000,mpfitbody,FLEX FRIDAY FUN! 💪🏽 #flex #friday #fun #muscle #lift #gym #fitlife #fit #fitness #love #life… https://t.co/S7Y3MXF0aY
807393321580720128,2016-12-10 01:15:43 +0000,BrandyDomecq,Este fin de semana Domecq no puede faltar. ¡Etiqueta al amigo al que quieres invitar! #Brandy #BrandyDomecq #cheers… https://t.co/2ic96Bf2zV
807393301368336384,2016-12-10 01:15:38 +0000,Alex96Oldfield,Sometimes you need to just lay on your bed and relax and watch some Netflix #FullerHouseSeason2 #netflix #relaxation #friday
807393268015239168,2016-12-10 01:15:30 +0000,VenuesNJ,"#Friday 12/9 #Livemusic JSOUL 9pm at P.J. Sweeney's Restaurant & Irish Pub Brick, New Jersey https://t.co/u5f7IZl6aN"
807393264076660736,2016-12-10 01:15:29 +0000,misaki060512345,"RT @TOKYOGIANTS0917: 成宮寛貴 芸能界引退FRIDAYを許してはいけないFRIDAY廃刊するべき＃FRIDAY＃成宮寛貴 https://t.co/XyOET2GIPE"
807393238248144896,2016-12-10 01:15:23 +0000,Kerryewagner,It's #friday don't hate. #beefeater #steakandwine #steaklover #mediumrare #protienpacked… https://t.co/dEtkRDOCq5
807393235903447040,2016-12-10 01:15:22 +0000,ikurinco,"RT @TOKYOGIANTS0917: 成宮寛貴 芸能界引退FRIDAYを許してはいけないFRIDAY廃刊するべき＃FRIDAY＃成宮寛貴 https://t.co/XyOET2GIPE"
