ID,Posted at,Screen name,Text
808039622647418881,2016-12-11 20:03:53 +0000,AlmightyStanne,RT @iRespectWeed: When she rolls you a blunt and then offers to give you head. #Love https://t.co/EJ4B54PUbU
808039618364981249,2016-12-11 20:03:52 +0000,RuckusAnastasia,A Heart truly made of gold. #LOVE #YOU #ALL | Don't refuse to make real money sitting home near your family Check my info @yogeshp30 @wildha
808039614078451712,2016-12-11 20:03:51 +0000,McDaniel_,"I wouldnt normally post something like this, but I worked hard and thought id ""brag"" a little. #Vegan #healthy… https://t.co/FGYDUMOnGB"
808039613881196544,2016-12-11 20:03:51 +0000,JulieMirishka,Can the #magic of #love #overcome a #lifetime of #pain? https://t.co/X5oR2ibixs #BookBoost #romance #MustRead #RRBC https://t.co/wwX7KWOcqN
808039605824094208,2016-12-11 20:03:49 +0000,TeVeelGevraagd,Bij 100 Retweets gaan wij morgen weer LIVE!!! #LOVE
808039584982515712,2016-12-11 20:03:44 +0000,Merlin_Addict,RT @shado_moonlight: Found this Merlin art and its love at first sight 😍😍❤️⚔️#art #gwen #Arthur #legends #myth #middleages #love #merlin https://t.co/4Lg9UZw2LD
808039579836153856,2016-12-11 20:03:43 +0000,_JuliPeralta,"Esa noche 💞✨ 9/12/16 🎓
#night #prom #makeup #hairstyle #love #cute #party #lovely #doll https://t.co/E6uqdJFSwX"
808039569786605568,2016-12-11 20:03:40 +0000,LauraPavilonyyt,Zuikiai 🐰 #throwback #Lithuania #holiday #couple #smile #happy #fun #love #princess 🙉👯 @ Lithuania https://t.co/VpfJKLYoIV
808039566326239232,2016-12-11 20:03:39 +0000,MikeGuerriero,"Sundays are for legs, wine, pasta and most importantly, #love. I hope yours is great! 🙏🏻"
808039564350750725,2016-12-11 20:03:39 +0000,_Ashleyjamison,"""You're too full of life to be half loved"". #love #matchmaker"
808039521426161664,2016-12-11 20:03:29 +0000,gf_makina,RT @themoodcards: Never doubt what YOU can do to change the world #ThinkBIGSundayWithMarsha #JoYTrain #BeTheChange #love http://t.co/S3nMoVqX7u
808039521258344448,2016-12-11 20:03:29 +0000,iamSRQansari,#love #DearFutureWife ❤❤❤❤❤ https://t.co/cqNsvBK6lm
