ID,Posted at,Screen name,Text
808193095019831296,2016-12-12 06:13:44 +0000,pokemonGO576,ポケモンGO和歌山 https://t.co/avp2ZZgJra #ポケモンGO #和歌山 #PokemonGo #pokemon
808193019459551232,2016-12-12 06:13:25 +0000,PokemonGONewsUS,[Bukit Batok] Exeggutor (IV: 66%) until 02:41:47PM at 170 Bukit Batok West Ave 8 https://t.co/vWh4tdy4XK https://t.co/T3s6nXs3Za #pokemon…
808192970281328640,2016-12-12 06:13:14 +0000,Danarel12,"RT @CentroPokemon: ⭐️ ¡SORTEO de #Pokemon! ⭐️
Requisitos:
🔴 ¡HACER RT!
🔴 SEGUIR a @CentroPokemon
🔴 SEGUIR a @Beasy_es 
¡FINALIZA el 19… https://t.co/mk3kkx6UAR"
808192946348687360,2016-12-12 06:13:08 +0000,YuuAnn77,"RT @CentroPokemon: ⭐️ ¡SORTEO de #Pokemon! ⭐️
Requisitos:
🔴 ¡HACER RT!
🔴 SEGUIR a @CentroPokemon
🔴 SEGUIR a @Beasy_es 
¡FINALIZA el 19… https://t.co/mk3kkx6UAR"
808192926463512576,2016-12-12 06:13:03 +0000,BainMiln,#pokemon minecraft game no download https://t.co/d1uDN4ZHJS
808192859371347968,2016-12-12 06:12:47 +0000,PieroLigorio93,"RT @PieroLigorio93: a special friend!
https://t.co/lTvYqTOqkR
#pokemon #espeon #eeveelution #fennekin #ポケモン #エーフィ #フォッコ https://t.co/0wCLRfB0v9"
808192855265202176,2016-12-12 06:12:46 +0000,jailbreaknieuw,"RT @iCrackUriDevice: ✅ RETWEET if you PREFER Jailbreaking OVER regular iOS
🔥HACK Pokemon! 1.19.1
➡️https://t.co/PgSfM4tdLP⬅️

🔺 #pokemon… https://t.co/7cVJdrGK9i"
808192829285695488,2016-12-12 06:12:40 +0000,ThePokemonFace,"Pokemon Go Updates: Double XP, “Shiny” Pokemon Possibly Mewtwo, Zapdos or Articuno & More https://t.co/9ekInvR9dP #Pokemon #PokemonFace"
808192766706642944,2016-12-12 06:12:25 +0000,JennaJordanz,"""Just came across this in a #book for class."" #pokemon #pokemongo https://t.co/cYyIrC6wbq"
808192755633704961,2016-12-12 06:12:23 +0000,jonathanguay_63,"RT @CentroPokemon: ⭐️ ¡SORTEO de #Pokemon! ⭐️
Requisitos:
🔴 ¡HACER RT!
🔴 SEGUIR a @CentroPokemon
🔴 SEGUIR a @Beasy_es 
¡FINALIZA el 19… https://t.co/mk3kkx6UAR"
808192751850307584,2016-12-12 06:12:22 +0000,Austinferno,"@Junichi_Masuda Here is a Crabominable doing what the Pokedex says, firing off its pincer off like a rocket! xD Hop… https://t.co/YPloP8rLMB"
808192696229695488,2016-12-12 06:12:08 +0000,gouroudu35,"RT @MrPokeTech: 🎁 GRAND CONCOURS #POKÉMON DE NOËL 🎁

1️⃣ ABONNE-TOI https://t.co/NGPgNDEmEi 
2️⃣ FOLLOW à @MrPokeTech
3️⃣ RETWEET… https://t.co/EuvyAKFuR8"
808192689929916416,2016-12-12 06:12:07 +0000,AlterLorenzo,"I'm Doduo. Discover which #Pokemon you are! 

START QUIZ: https://t.co/TCGvL59m2A https://t.co/gBP1FC4DOC"
808192689896378368,2016-12-12 06:12:07 +0000,workhunterone,"Soundbot SB210 HD Stereo Bluetooth 4.1 #Beanie #Headset Cap, https://t.co/JRThbeJ61L 
#gamecube #giveaway… https://t.co/Q7wkEQsQhF"
808192621902327808,2016-12-12 06:11:51 +0000,geimrisa,"#พรีออเดอร์เกาหลี #TONYMOLY #Pokemon Cream จะเข้าหน้าหนาวแล้ว มาบำรุงผิวกันหน่อย --> 380฿
#howtobeauty… https://t.co/f2szPGiwVP"
