ID,Posted at,Screen name,Text
808039558554099712,2016-12-11 20:03:38 +0000,HeyPoliticsAI,"Hello America!!! We are live!!! Let's talk politics!
#politics #chatbot #RebootDemocracy #2016Election #politics https://t.co/4l1TUgnW6X"
808039450492030980,2016-12-11 20:03:12 +0000,jeetkuneluke,RT @JamesIacobus: #Corruption: The Myth of Clean #Politics https://t.co/GnLRZ8P5Jc via @feeonline
808039442036338688,2016-12-11 20:03:10 +0000,chris63414391,RT @SolariumMedia: Dem Congresswoman: The Criticism That Trump Is Picking Too Many Retired Generals Is 'Pretty Offensive'  #politics https://t.co/stHave89IQ
808039363858862081,2016-12-11 20:02:51 +0000,MMaxAAdams,"#Politics @FoxBusiness @greggutfeld   
A successful business, any size, is run by a person skilled in politics. Can't escape it."
808039260746084352,2016-12-11 20:02:27 +0000,lilium479,RT @SolariumMedia: Dem Congresswoman: The Criticism That Trump Is Picking Too Many Retired Generals Is 'Pretty Offensive'  #politics https://t.co/stHave89IQ
808039179338719232,2016-12-11 20:02:07 +0000,newsbot6,Boris Johnson says there is 'candour' in UK-Saudi relations #Politics #BorisJohnson https://t.co/rQ4kTRoZeg
808039175396196354,2016-12-11 20:02:06 +0000,DrPhilipJHowe,RT @LSEGovernment: What is #PostTruth #Politics? @AliCirone discusses its implications for politics in 2016 & beyond on #LSEHotSeat… https://t.co/Y089G4tgVO
808039149496193024,2016-12-11 20:02:00 +0000,TGRedPillNews,"Sunday Opinion: Election of Trump won't save America, but it may buy us some time https://t.co/Fcl7KvnGCy

#news #politics #opinion #MAGA"
808039111177236480,2016-12-11 20:01:51 +0000,TheJamesNews,#Politics News Trump vows no 'wrecking ball' to Obama legacy – but signals big changes - Fox News https://t.co/v7TKz1zu6g
808038984375009280,2016-12-11 20:01:21 +0000,maconnal,You might be a libtard if... #libtard #racism #SJW #liberal #politics https://t.co/hwVR0N5azF
808038956671504385,2016-12-11 20:01:14 +0000,diamondvajra,RT @LimSofi: Tis is really must watch. How cld ppl b put thru such #sufferings just 4 #politics & #power. https://t.co/nPakuaQPAh #DalaiLama @tsemtulku
808038924421513216,2016-12-11 20:01:06 +0000,Briefing__Room,#Politics GOP prepares for battle over Dodd-Frank https://t.co/xLvzT0t3DW #TCOT
808038922664091648,2016-12-11 20:01:06 +0000,Briefing__Room,#Politics Outgoing VP Joe Biden keeps 2020 door open https://t.co/YIWj6Je08L #TCOT
808038921267359744,2016-12-11 20:01:06 +0000,Briefing__Room,#Politics Pettion Launched Calling for the Impeachment of Seattle Socialist City Councilwoman https://t.co/cvcHRFXcMI #TCOT
808038919816167425,2016-12-11 20:01:05 +0000,Briefing__Room,#Politics Trump: Nobody Really Knows What's Causing Climate Change https://t.co/7GYeM35HFI #TCOT
808038918301962240,2016-12-11 20:01:05 +0000,Briefing__Room,#Politics Trump On Dakota Access Pipeline: 'We'll Have It Solved Very Quickly'. https://t.co/CAOiWgb6E1 #TCOT
808038893610213378,2016-12-11 20:00:59 +0000,Cindy_52s,RT @MakeItPlain: #Trump says U.S. not necessarily bound by 'one #China' policy https://t.co/zPzBiP3uLS #politics #Trumpera
808038877801959424,2016-12-11 20:00:55 +0000,ScoopRocket,Golf-Australian journeyman Brazel wins Hong Kong Open - https://t.co/zmdO7qZFkF #news #politics #clinton #trump #follow
808038873305595904,2016-12-11 20:00:54 +0000,GoogleSniper8A,"Democrats Retreat on Spending, Averting Shutdown https://t.co/QkjIKSgQRZ #politics"
808038873255333889,2016-12-11 20:00:54 +0000,FreedomNationO,Morning Joe' Calls Out Hillary For 'Fake News' Warning | The Daily Caller https://t.co/7fHYuVEfQX #politics
808038872970104835,2016-12-11 20:00:54 +0000,StopHillary01,Hillary Campaign Ignored Staffer Who Predicted She'd Lose | The Daily Caller https://t.co/aulmwRBYu7 #politics
808038872911384576,2016-12-11 20:00:54 +0000,SolariumMedia,Dem Congresswoman: The Criticism That Trump Is Picking Too Many Retired Generals Is 'Pretty Offensive'  #politics https://t.co/stHave89IQ
808038872907124736,2016-12-11 20:00:54 +0000,JonesThree,Rudy Giuliani Won't Be Trump's Secretary Of State | The Daily Caller https://t.co/ObdWgox57d #politics
808038872793944064,2016-12-11 20:00:54 +0000,RogerPierceOne,The First 100 Days: Can Trump really 'drain the swamp'? | Fox News https://t.co/pETjDajgum #politics
808038872781377536,2016-12-11 20:00:54 +0000,reagan01a,Effective? Women Sending Texas Gov. Used Tampons To Protest New Law - #politics https://t.co/Qtcq7yTPyl
808038872735248385,2016-12-11 20:00:54 +0000,LibertyTwoNews,Giuliani: I Didn't Want to Complicate Things Anymore - Cortney O'Brien https://t.co/ixs2DVvHLc #politics
808038872709992449,2016-12-11 20:00:54 +0000,PoliticalActOne,Remembering the Many Accomplishments of John Glenn https://t.co/QR82tkdB8t #politics
808038872705798146,2016-12-11 20:00:54 +0000,patriotnewsone,Texas attorney general drops a great big Yuletide truth bomb on school district  #politics https://t.co/F3JjyA8Bnt
808038872596811777,2016-12-11 20:00:54 +0000,DeepThroatB,What's next for Hillary? Latest moves indicate Clinton won't fade away |  #politics  https://t.co/Rf8xoKyKVL
808038872592613378,2016-12-11 20:00:54 +0000,PatriotForum,MSNBC's Mika Brzezinski: The Clinton Campaign Tried To Take Me Off The Air -  #politics  https://t.co/XnA0YKizyu
808038872563204096,2016-12-11 20:00:54 +0000,PatriotNationA,Sheryl Sandberg Says Fake News Did Not Sway Election | The Daily Caller https://t.co/20DgLX5PcM  #politics
808038872416395264,2016-12-11 20:00:54 +0000,ConservNationA,Hillary Campaign Ignored Staffer Who Predicted She'd Lose | The Daily Caller https://t.co/h6suvUt7PF #politics
808038872399675394,2016-12-11 20:00:54 +0000,RogerPierceT,Eastern Europe Is a Powder Keg Ready to Explode https://t.co/aTlYCeCguN #politics
808038872399675392,2016-12-11 20:00:54 +0000,LibertyThreeM,East Coast fishermen file appeal over cost of government-required 'at-sea monitors'  #politics https://t.co/ReF5dWAv70
808038872399671296,2016-12-11 20:00:54 +0000,RedStatesRally,Reporter Falsely Tweets Trump Supporters Booed John Glenn | The Daily Caller https://t.co/u6A9KLSTeH #politics
808038872395513861,2016-12-11 20:00:54 +0000,LifeWinnersOnly,Kellyanne Roasts 'People Who Just Can't Admit' Trump Won | The Daily Caller https://t.co/93cFUBzfhf #politics
808038872387059713,2016-12-11 20:00:54 +0000,ConserveMind,What to Know About Cathy McMorris Rodgers https://t.co/9o6MC5pPIe #politics
808038872387031040,2016-12-11 20:00:54 +0000,Pence4P,Rudy Giuliani out of contention for Cabinet post | Fox News https://t.co/tdFolPQ0E5 #politics
808038872353533952,2016-12-11 20:00:54 +0000,davejonesfour,US Must Remain Steady as South Korea Impeaches President https://t.co/0CK5xkl8X1 #politics
808038872223510529,2016-12-11 20:00:54 +0000,JohnGaltA,Ohio Takes Major Step to Protect Individual Rights https://t.co/O1SPNyNUly #politics
808038844872458240,2016-12-11 20:00:47 +0000,DavidMartin4NH,"With known #Chemical & #Biological weapon ministers, that guaranteed 2 types #WMD 's in hand.  #nhpolitics #politics https://t.co/OJZ3snEN0v"
808038841466503168,2016-12-11 20:00:47 +0000,ScoopRocket,Trump says U.S. not necessarily bound by 'one China' policy - https://t.co/2qmuuU7ZXl #news #politics #clinton #trump #follow
808038748726456320,2016-12-11 20:00:24 +0000,JFA5150,#TIME #politics #stories Donald Trump Mulls Exxon Mobil CEO as Secretary of State https://t.co/AvSI5FNr3j
808038748420263936,2016-12-11 20:00:24 +0000,MeCoffeeBreak,#Politics @ #CNN https://t.co/mXI2BA6dsQ
808038728224702464,2016-12-11 20:00:20 +0000,WCCBCharlotte,Former U.S. Senator Kay Hagan remains hospitalized with an undisclosed illness. Story. https://t.co/KosXDXhAyA #news #politics #WCCB
808038689842434048,2016-12-11 20:00:10 +0000,AffairAnalyst,Why tweeting #Trump is actually a good thing? #FakeNews #politics - https://t.co/gYp6OQPKL5 https://t.co/7A7TN3khDh
808038659282894849,2016-12-11 20:00:03 +0000,schestowitz,"If #assange wanted to ""bring Merkel down"" (because Putin!!!), he'd focus on #politics rather than spy agencies https://t.co/3jPKjPueVa #bnd"
808038655881256960,2016-12-11 20:00:02 +0000,daystilelection,"694 days until the United States Midterm Elections on November 6th, 2018. #election2018 #campaign2018 #politics https://t.co/1EHncEuWkN"
808038655348441089,2016-12-11 20:00:02 +0000,SuperHeroSpeak,Trigger warning we discuss  #Politics  w/ @scottjlarsonart on this episode https://t.co/wL6qTIlrjO #PodernFamily… https://t.co/fipNlHJD5U
808038622494539776,2016-12-11 19:59:54 +0000,ScoopRocket,Social Security won’t be privatized — even under Trump - https://t.co/hDY8MvtnP0 #news #politics #clinton #trump #follow
808038424233943040,2016-12-11 19:59:07 +0000,GetTheDailyDirt,Democrats Must Go Beyond Mere Opposition to Trump https://t.co/XxWB5buWtO #Politics
808038381875851264,2016-12-11 19:58:57 +0000,andrewshamlet,"Saying, ""Tell me, great hero, but please make it brief #politics #election #president #trump #hillary"
808038327588945922,2016-12-11 19:58:44 +0000,football_prep,"All our prayers goes to Turkey at this point,yet daily attacks in Palestine, Syria & Egypt goes noticed or ignored #Humanity #Politics"
808038323759513600,2016-12-11 19:58:43 +0000,MimmerApp,Trump says it’s OK if he skips intelligence briefings because he’s ‘a smart person’ https://t.co/YAFHE2usOf #Mimmer #Politics
808038186215755778,2016-12-11 19:58:10 +0000,Tootmenot,"@MargoJMilne grumpyguts, soak it up, the nation voted  #politics"
808037968703328257,2016-12-11 19:57:19 +0000,Politics4All,'FOX NEWS SUNDAY' EXCLUSIVE:  Trump vows no wrecking ball to Obama legacy – but wants ‘clean’-up https://t.co/nzsqFXZXeL #politics
808037966211846145,2016-12-11 19:57:18 +0000,Politics4All,"INVESTIGATE COMEY?  Retiring Reid seeks probe, wants FBI boss to quit https://t.co/JNybCi4apQ #politics"
808037963355586561,2016-12-11 19:57:17 +0000,Politics4All,COLD CASE MURDERS   Sons play role in arrest  of dad in 1978 killings https://t.co/jnG8IUDarN #politics
