ID,Posted at,Screen name,Text
807999548253683714,2016-12-11 17:24:38 +0000,jackkowalski08,@stoolpresidente @mikefreemanNFL Always the victims. #Sad.
807999302060670976,2016-12-11 17:23:40 +0000,lionelreynaud,"real sad to hear about the passing of Etienne Fabre (@AG2RLMCyclisme trainee).
My thoughts go to him and his family #cycling #sad"
807999164663660544,2016-12-11 17:23:07 +0000,C_rappp,My friends were at my house just being hungover together and I'm at WORK #sad
807999016285966336,2016-12-11 17:22:32 +0000,Gluegames,depressed intellegentcube stock photos #sad
807998935813922816,2016-12-11 17:22:12 +0000,DSwishTrece,#sad #patience @wykrhm https://t.co/0egcb1QiVC
807998840993435648,2016-12-11 17:21:50 +0000,jessiqu1996,#sad https://t.co/HDkLy4iBsS
807998400973127684,2016-12-11 17:20:05 +0000,lanky212,RT @luvmysibes: Happy #SundayMorning ! We lost 8  followers over night! Awww #Sad. It' still going to be a great day! @segerfan… https://t.co/Bs7q6PvcsB
807998226745933824,2016-12-11 17:19:23 +0000,WoolfolkErin,"well bitch im not, if you don't take yo disrespectful ass in that room and put on some gahdamn DW-40 #sad https://t.co/Ylu1uovCfn"
807998064137043969,2016-12-11 17:18:45 +0000,rodstowell73,@justinhendrix @realDonaldTrump JH your post go beyond ignorant. It's people like you that add nothing constructive or productive. #sad
807997970281066497,2016-12-11 17:18:22 +0000,fooschamp95,@cupcakekitty09 You actually believe this #FakeNews? #Sad @amjoyshow refuses to accept reality. #HesYourPresident.   @McFaul @POTUS
807997870737686528,2016-12-11 17:17:58 +0000,Chriss_Daryl,I haven't cried yet but I can tell it won't take much to set me off #thissucks #sad https://t.co/6y0lhn4c2o
807997637739810816,2016-12-11 17:17:03 +0000,PeePartyExpress,"RT @EndHateRadio: My guess? Trump doesn't understand what the word ""intelligence"" means in this context. #dummy #dangerous #sad https://t.co/MQn7fxBVyB"
807996877144813568,2016-12-11 17:14:02 +0000,Lhalvors,"10 hrs after moving in, got our 1st welcome to the neighborhood gift, a ticket from a very unfriendly cop. #parkedonthestreet #nograce #sad"
807996765240758272,2016-12-11 17:13:35 +0000,imjadeandrew,"please TALLY makisama ka bukas ha <3 labyu T_T 

#SAD"
807996744445394945,2016-12-11 17:13:30 +0000,singhpawanveer,"RT @punjabpcc: Sops, personal attacks by #SAD clearly show their frustration, say @punjabpcc leaders @kewaldhillon, Gurpreet Kangar, Kushaldeep Dhillon"
807996736241303552,2016-12-11 17:13:28 +0000,pmhuettner,"Insane the McCarthyism spewing from @MeetThePress, @chucktodd, and @nbc. #sad! @realDonaldTrump"
807996621803884544,2016-12-11 17:13:01 +0000,1800tellit2Tj,That mf phone off cause he spend all his money on weed #sad
