ID,Posted at,Screen name,Text
807987407459119104,2016-12-11 16:36:24 +0000,pinklovegiz03,"RT @barbiesway: Love, marriage, then internet sex addiction
When is enough
ENOUGH?
A couples life & drama
#saturday #read
#Amazon… https://t.co/ny0XgAHLtO"
807987315314307072,2016-12-11 16:36:02 +0000,Denaly_prato,#moon #fiveoclock #perspective #blackandwhite #saturday #sunacaracas #venezuela #followme… https://t.co/mAf6PY8QfX
807987294334517248,2016-12-11 16:35:57 +0000,sandy__hope,RT @AlohaLolaCards: For a chance to win this cute Pusheen beauty gift set just RT and Follow me! Winner announced next week! #Saturday… https://t.co/Oo0fp889l8
807987096145235969,2016-12-11 16:35:10 +0000,PuntoMiami,Bender's Farm Fresh Market petting zoo today from 10AM-4PM $5 admission #miami #miamibeach #southbeach #pettingzoo #familyfun #saturday
807986217648324608,2016-12-11 16:31:40 +0000,73marmar,RT @gamesyouloved: Who's ready to P A R T Y?! #saturday https://t.co/OvQryOusD3
807986052975783936,2016-12-11 16:31:01 +0000,lisaorchard1,"RT @EmmabBooks: 2016 Best Books now up on my #bookreviews site.  
Great ideas for Christmas presents! 
#Saturday #Xmas #Christmas… https://t.co/hsGwK27XTR"
807985953251815424,2016-12-11 16:30:37 +0000,antonyscarano,"(Nun c'ho niente da dire!)
#Selfie #Selfies  #me #boy #men #sunday  #scruffyhomo #man #saturday… https://t.co/uY0SPMcBMB"
807985855193354240,2016-12-11 16:30:14 +0000,ZADF_ORG,"When you had too much fun on #Saturday Night
#hungover #drinking https://t.co/O92II7EsET"
807985748297322497,2016-12-11 16:29:48 +0000,themaster722,"RT @Mathildis108: Empower yourself:
https://t.co/zyLP9pYMub
https://t.co/faFtkWnbjD
#yogaposes #Saturday #truth #knowmoore… https://t.co/UQ5RwlKhA3"
807985580562845696,2016-12-11 16:29:08 +0000,Island_Gem,moodteez #nottodaybitch #tshirt #yesterday #me #selflove #blackwoman #fashion #style #saturday… https://t.co/ZfdgB6IWbX
807985034951008256,2016-12-11 16:26:58 +0000,VLilMonsterpull,"JANUARY21🔥JANUARY21🔥JANUARY21🔥

ITS THE RETURN OF #VeehLilMonsterpull 😱😱😱#Saturday #January 21st… https://t.co/Pkc9mOWXJJ"
807984976218226688,2016-12-11 16:26:44 +0000,chicagomistress,#sounding on a #Saturday morning in #Indianapolis #servicesub first time with them. He's converted! #eagertoplease… https://t.co/LNctJxTI7p
807984830877208577,2016-12-11 16:26:09 +0000,lancashirem,#Saturday Afternoon #Weather: #Forecast From The @metoffice For The #UK https://t.co/M8twsHRvtk https://t.co/tTNpiLPIpQ
807984695698931713,2016-12-11 16:25:37 +0000,FreddyvsJason03,"RT @ZADF_ORG: When you aren't feeling like yourself but your song comes on so you have to show-out
#Saturday #TheWeeknd #horror… https://t.co/2TYxVAL5e4"
807984580821155840,2016-12-11 16:25:10 +0000,LeBelleChose,RT @AlohaLolaCards: For a chance to win this cute Pusheen beauty gift set just RT and Follow me! Winner announced next week! #Saturday… https://t.co/Oo0fp889l8
807984560009084929,2016-12-11 16:25:05 +0000,innsbrook_aw,"Capital Ale House Innsbrook is serving up a delicious #BRUNCH menu today! 

#weekend #saturday #sunday #yum #food... https://t.co/hTxn9qQe4O"
807984331746463744,2016-12-11 16:24:10 +0000,CynthiaWoolf,"RT @barbiesway: Love, marriage, then internet sex addiction
When is enough
ENOUGH?
A couples life & drama
#saturday #read
#Amazon… https://t.co/ny0XgAHLtO"
807984280953569281,2016-12-11 16:23:58 +0000,LobnaHassan15,RT @canistabyou: #Saturday https://t.co/9PYbO7nClz
807984258757357569,2016-12-11 16:23:53 +0000,LorraineDunne1,RT @RevlonUK: Your #Saturday treat? Endless eye looks—from doe-eyed and demure to smokey and sultry—with Colorstay Not Just Nudes… https://t.co/lLU8BYuElH
807984131716083712,2016-12-11 16:23:23 +0000,IamVanessaVale,"RT @barbiesway: Love, marriage, then internet sex addiction
When is enough
ENOUGH?
A couples life & drama
#saturday #read
#Amazon… https://t.co/ny0XgAHLtO"
807983840203571200,2016-12-11 16:22:13 +0000,iamtrrng,#saturday #SaturdayVibes https://t.co/pblrc6Eakn
807983737313132544,2016-12-11 16:21:49 +0000,assmaster72,RT @ShandaFay: love touching a man like no other can with my tongue #RT if your up late #saturday night and #horny https://t.co/mZ1TqZqMnR
807983539350339585,2016-12-11 16:21:02 +0000,espejoladylemon,"RT @Stardivarius_: 💃🏻Sábado noche, look total black y mucho tul 😍 #yes #oui #ja 🔜https://t.co/nzyvY5BZ0H #Saturday #lifestyle… https://t.co/E5E3g4juNt"
807983120985178112,2016-12-11 16:19:22 +0000,urstrulyroshan,"RT @AfsarTamannaah: @Tamannaahspeaks in @flyrobe @Shopify at last night #Saturday #StyleFile #AboutLastNight 
Styled by @SanjanaBatra… https://t.co/IUnFNicigI"
807982771184500736,2016-12-11 16:17:58 +0000,Cora_Harrison,RT @AlohaLolaCards: For a chance to win this cute Pusheen beauty gift set just RT and Follow me! Winner announced next week! #Saturday… https://t.co/Oo0fp889l8
807982670332493826,2016-12-11 16:17:34 +0000,Juliagh777Vaugh,RT @ronaldo7chop: I know secret locations of the secret sofas on  #saturday night takerway #ant and Dec. Like me and I will message you locations
807982187278499840,2016-12-11 16:15:39 +0000,V_KiraN_,"RT @AfsarTamannaah: @Tamannaahspeaks in @flyrobe @Shopify at last night #Saturday #StyleFile #AboutLastNight 
Styled by @SanjanaBatra… https://t.co/IUnFNicigI"
807982174137946112,2016-12-11 16:15:36 +0000,rebeka_glbcs,Amúgy megvettem a hóembereset ☃💕 #candle #snowman #love #cute #jysk #saturday https://t.co/zlg4dyFvot
807982098271256576,2016-12-11 16:15:18 +0000,RevathiTamanaa1,"RT @AfsarTamannaah: @Tamannaahspeaks in @flyrobe @Shopify at last night #Saturday #StyleFile #AboutLastNight 
Styled by @SanjanaBatra… https://t.co/IUnFNicigI"
807981858814300160,2016-12-11 16:14:21 +0000,Paintsgalore,#piano #steinway #solopiano #ukmusic #classicalmusic #islandrecords #erasedtapes #Saturday #satchat https://t.co/TqubPvpjSB
807981725066346496,2016-12-11 16:13:49 +0000,GraceandGarbo,jazzanitawilliams at lepetitcafedubai every #friday for #sunsetjazz and #Saturday for… https://t.co/gX8aVPUmQm
807981628832157697,2016-12-11 16:13:26 +0000,flyrobe,"RT @AfsarTamannaah: @Tamannaahspeaks in @flyrobe @Shopify at last night #Saturday #StyleFile #AboutLastNight 
Styled by @SanjanaBatra… https://t.co/IUnFNicigI"
807981466151813120,2016-12-11 16:12:47 +0000,AfsarTamannaah,"@Tamannaahspeaks in @flyrobe @Shopify at last night #Saturday #StyleFile #AboutLastNight 
Styled by @SanjanaBatra… https://t.co/IUnFNicigI"
807981434749087746,2016-12-11 16:12:40 +0000,refuahomeopathy,Trying to contact Ariel regarding a product on our site on #Saturday? Not the best time as we… https://t.co/tiJh8RtZWH
807981354583474176,2016-12-11 16:12:21 +0000,Antony_cruz,Had an awesome #Saturday ! Last Saturday #Gopro #goproin #goproindia #WTR #wildtriberanch @ Wild… https://t.co/r6mjPHyJ6Z
807981079827189760,2016-12-11 16:11:15 +0000,Sviat_Philatoff,"RT @Sviat_Philatoff: #Saturdaymood
Enjoy it!

https://t.co/pIu6BpV45z
#saturday #SaturdaySelections"
807981011669635072,2016-12-11 16:10:59 +0000,KGCme,....loving living life....#saturday #ootn https://t.co/AFb6CMHfgC
807980789908520962,2016-12-11 16:10:06 +0000,Bajaconbebe,Cuando toda tu vida quisiste ser como Monique Pardo 😬🍬 #caramelo #lastnight #saturday #night #party https://t.co/6U9qylFKY1
807980194497724417,2016-12-11 16:07:44 +0000,prawinkumarwor1,RT @AfsarTamannaah: @Tamannaahspeaks had a lot of fun catching up and chatting with @TANAAZB & @poojamakhija! #AboutLastNight #Saturday https://t.co/mBxFJhiOP8
807980086213431296,2016-12-11 16:07:18 +0000,helenestype,Know where this is⁉️⁉️⁉️No⁉️⁉️⁉️ #google it... #whereami #nyc #chelsea #saturday… https://t.co/c7CwmwMeAQ
807980083046711296,2016-12-11 16:07:17 +0000,gigi_dreamer,"RT @Jopolkadot: ""Be in love with your life..
 Every minute of it""

Jack Kerouac 

©Hope Gangloff 

#Saturday #Colour #Art https://t.co/WGYdXZQkfK"
807979915521957888,2016-12-11 16:06:38 +0000,viviann_71,#fun #saturday day n night!!! https://t.co/YmXpHfZApP
807979739050717186,2016-12-11 16:05:55 +0000,bluephoenixof,"RT @Fender: Staying in sounds like a good idea. 

#Saturday #HomeSweetHome https://t.co/wjeEGMk6Ld"
807979722458234880,2016-12-11 16:05:52 +0000,coachYahya,#wrestling #fitnessmotivation #fitness #Saturday #Practice #get better #Bengals https://t.co/0QOfAjgStD
807979128565727234,2016-12-11 16:03:30 +0000,kinky_man_69,RT @ShandaFay: love touching a man like no other can with my tongue #RT if your up late #saturday night and #horny https://t.co/mZ1TqZqMnR
807978615669329920,2016-12-11 16:01:28 +0000,MFC_pervert,"RT @AstroDomina: It's the weekend! 😎
#Saturday https://t.co/MUB4caNjYu"
807978399025299456,2016-12-11 16:00:36 +0000,fbcclothing,Fall bliss 🍂❤️️#fall #fallbeauty #fallcolors #beauty #love #travel #naturelovers #weekend #saturday #nature… https://t.co/OtV6dabSAJ
807978042643595264,2016-12-11 15:59:11 +0000,Alica73,"@RevlonUK Oooh fingers, toes and eyes crossed! Thanks for the chance! #Saturday"
807977984925765634,2016-12-11 15:58:57 +0000,Beachshrewsbury,🎉🌲 Book your #Beach #Booth up today #Shrewsbury :: We have Massive Deals available #Weds #Friday #Saturday... https://t.co/NQK5qExifm
807977956794634240,2016-12-11 15:58:51 +0000,Alica73,RT @RevlonUK: Your #Saturday treat? Endless eye looks—from doe-eyed and demure to smokey and sultry—with Colorstay Not Just Nudes… https://t.co/lLU8BYuElH
807977673083396097,2016-12-11 15:57:43 +0000,PastorCalvinJ_,It's just that kind of Saturday #chilling #fatherandson #saturday #movienight https://t.co/clyJiqtDl2
807977509010739201,2016-12-11 15:57:04 +0000,camptechterra,RT @TechTerraEd: Our #holiday #giveaway runs thru Dec 31st. We'll pick 4 more winners next #saturday! Enter to now to win! #edtech… https://t.co/cRhu4kJPXe
807977037747093506,2016-12-11 15:55:11 +0000,TechTerraEd,Our #holiday #giveaway runs thru Dec 31st. We'll pick 4 more winners next #saturday! Enter to now to win! #edtech… https://t.co/cRhu4kJPXe
807976496505749504,2016-12-11 15:53:02 +0000,ChinkeiEffinham,#latergram #latepost  #indeesstreets #dc #dmv #dupontcircle #party #saturday #outchea #cute… https://t.co/trT7i8VH45
807976486124797952,2016-12-11 15:53:00 +0000,LHEcoEntre,"@Sadlers_Wells thanks so much for amaze box office phone service, picked up some returned tickets for sold out #theredshoes #saturday👏👏👍👍"
807976382819172352,2016-12-11 15:52:35 +0000,OfficialMel,RT @RiekerRetailUK: One for your #Saturday afternoon. A delicious Winter #cocktail by @OfficialMel | https://t.co/CDpoD04KIg… https://t.co/kjJfsk1ZHY
807976353165361153,2016-12-11 15:52:28 +0000,retriotauniy191,"RT @GHWL_Foundation: The #holidays are fast approaching.  
Be a #gift to someone and #giveback this #saturday 
#nonprofit #volunteer… https://t.co/5CMxCHYU3m"
807976312555962368,2016-12-11 15:52:19 +0000,magicmike1972,#saturdaymorning  #boxing #beachbody #bodybeast  #hammerandchisel #coredeforce #rockybalboa #21dayfix… https://t.co/HTgNTmT2fz
807975919503765504,2016-12-11 15:50:45 +0000,greensmith68,RT @RevlonUK: Your #Saturday treat? Endless eye looks—from doe-eyed and demure to smokey and sultry—with Colorstay Not Just Nudes… https://t.co/lLU8BYuElH
807975878722322432,2016-12-11 15:50:35 +0000,mynameisciara,Coffee & Nails #Chinatown #london #saturday #manicure #gatsbynails… https://t.co/9pfxcBw8NF
807975758262059008,2016-12-11 15:50:06 +0000,sewell_jenn,#saturday #chillmode #tiredofthecold https://t.co/Ju4Ui9cxpQ
807975038175608832,2016-12-11 15:47:15 +0000,Serenaywaffle,"RT @SerenayAktas: #saturday 🚫

https://t.co/FjaIZedUGL"
807975014960140288,2016-12-11 15:47:09 +0000,FionablinWatson,RT @radioowen: Remember this show on a #Saturday tea time? https://t.co/FPaX5gcC15
807975013953536000,2016-12-11 15:47:09 +0000,FollableX,RT @ShandaFay: love touching a man like no other can with my tongue #RT if your up late #saturday night and #horny https://t.co/mZ1TqZqMnR
807975009553707009,2016-12-11 15:47:08 +0000,GiuliaProvinzan,"•MI HERMANA• 🎈✨

#sister #love #saturday @ Marilyn Cafè https://t.co/fsRzeISKuR"
807974982764535808,2016-12-11 15:47:01 +0000,GiampiSpinelli,#dj #producer #techno #technolover #giampispinelli #insta #pic #saturday #technolovers #dancetechno #podcast... https://t.co/PaDquwiXuT
807974899813912577,2016-12-11 15:46:42 +0000,Vijaydhanani5,"RT @TamannaahFans: #CaptionThis! Let's see how creative you can get! #Saturday #Black #StyleFile #AboutLastNight 
Sanjana Batra Stylin… https://t.co/SZrZj6rhfR"
807974724496162817,2016-12-11 15:46:00 +0000,_DanielaRodB,"Gracias por todo ! 🎈🎉 Las quiero 🐼🐻😺 
#PlanB #bff👭 #Lunch🍴#saturday… https://t.co/n6v0RDPqCO"
807974519805710336,2016-12-11 15:45:11 +0000,XioMadera,Cheers! Convención de gordos #burger #hamburger #hamburguesa #we #friends #weekend #saturday… https://t.co/hocjpY8hqI
807973889745809408,2016-12-11 15:42:41 +0000,Fensspell,RT @Ianandbeverly: https://t.co/7wZMlNvTWp #Life begins after #coffee. #Saturday #weekend #cafe. RT @love_espresso.
807973665560104961,2016-12-11 15:41:47 +0000,gubo_k,"RT @Jopolkadot: ""Be in love with your life..
 Every minute of it""

Jack Kerouac 

©Hope Gangloff 

#Saturday #Colour #Art https://t.co/WGYdXZQkfK"
807973154597507073,2016-12-11 15:39:46 +0000,usagecataract5,RT @AlohaLolaCards: For a chance to win this cute Pusheen beauty gift set just RT and Follow me! Winner announced next week! #Saturday… https://t.co/Oo0fp889l8
807973127930126336,2016-12-11 15:39:39 +0000,MamsterLynne,RT @AlohaLolaCards: For a chance to win this cute Pusheen beauty gift set just RT and Follow me! Winner announced next week! #Saturday… https://t.co/Oo0fp889l8
807972306660114432,2016-12-11 15:36:23 +0000,Zenplex,"RT @AkashaGarnier: ✨Best wishes this weekend! 
Away for a while.🙋🏼 Hope today brings a smile! https://t.co/olcMF9CuYT #saturday #shine… https://t.co/s1IjDFJJgF"
807972021367762944,2016-12-11 15:35:15 +0000,WorldWide_BD,"Saturdays for the Santas 

#santacon #Santa #Saturday #nyc #brooklyn #christmas #redhat… https://t.co/WcZmOSFzUu"
807971949712470020,2016-12-11 15:34:58 +0000,danielle_diaz_,"sunday. finally at home. thank you for an amazing weekend. 

#sunday #saturday #friday #deep #music #techhouse… https://t.co/LLHPxjRVpU"
807971740542324736,2016-12-11 15:34:08 +0000,su_streethiphop,🎬📺📀📹#movie #chilling #time #photoinstagram #photo #photographer#flowers #photography #saturday… https://t.co/RmF4NnPIQK
807971408693301248,2016-12-11 15:32:49 +0000,djyannickyan,"RT @PanoramixRadio2: https://t.co/XKHNweH4Sy
#FUCKDAESH 
#SPRAY4PARIS
#GRAFFITI
#Pioneer
#thai
#DJ
#ANGFRA
#dirtytwerk
#Saturday
#Night
#superHeros
#radioshows"
807971379312205824,2016-12-11 15:32:42 +0000,SouzaJhenifer,RT @melissa_roberta: A parte azul da minha vida 💙  #LastNight #Saturday @SouzaJhenifer https://t.co/6Yyoc3wR3o
807971376611164160,2016-12-11 15:32:42 +0000,djyannickyan,"RT @PanoramixRadio2: https://t.co/XKHNweH4Sy …
#FUCKDAESH 
#SPRAY4PARIS
#GRAFFITI
#Pioneer
#thai
#DJ
#ANGFRA
#dirtytwerk
#Saturday
#Night
#superHeros
#radioshows"
807971154388459520,2016-12-11 15:31:49 +0000,theseanthesheep,RT @AlohaLolaCards: For a chance to win this cute Pusheen beauty gift set just RT and Follow me! Winner announced next week! #Saturday… https://t.co/Oo0fp889l8
807970863425449984,2016-12-11 15:30:39 +0000,NikkoSunset,"RT @HitFM1035Radio: #Gmorning #HITers #saturday
21:00 - 22:00 | NIKKO SUNSET
22:00 - 23:00 | @jojo rose 
00:00 - 01:00 | Suara
01:00... https://t.co/lebGvG1kam"
807970671695380480,2016-12-11 15:29:54 +0000,melissa_roberta,A parte azul da minha vida 💙  #LastNight #Saturday @SouzaJhenifer https://t.co/6Yyoc3wR3o
807970568721072128,2016-12-11 15:29:29 +0000,CRuthburton,RT @AlohaLolaCards: For a chance to win this cute Pusheen beauty gift set just RT and Follow me! Winner announced next week! #Saturday… https://t.co/Oo0fp889l8
807970566812495872,2016-12-11 15:29:29 +0000,1Vero20,Sábado de familia. ☃🍷 #love #Saturday #igers #instaphoto https://t.co/0KDQpnTylm
807969906503417856,2016-12-11 15:26:51 +0000,kareem4620,RT @ynakg: $320K and some yet to report #Saturday #Dhruva
807969684754722816,2016-12-11 15:25:58 +0000,beatsinheat,"RT @ZADF_ORG: When you aren't feeling like yourself but your song comes on so you have to show-out
#Saturday #TheWeeknd #horror… https://t.co/2TYxVAL5e4"
807969471155433472,2016-12-11 15:25:07 +0000,BharambePawan,"RT @TamannaahFans: #CaptionThis! Let's see how creative you can get! #Saturday #Black #StyleFile #AboutLastNight 
Sanjana Batra Stylin… https://t.co/SZrZj6rhfR"
