ID,Posted at,Screen name,Text
807987712112345088,2016-12-11 16:37:36 +0000,WallaceGeorge7,"RT @Angiecre8: Have a wonderful #Sunday & peaceful #weekend.
#photography #naturephotography #nature_brilliance https://t.co/nCxH7VWjEy"
807987705015627776,2016-12-11 16:37:35 +0000,Yuta_PGW,"Downhill tipis tipis 💨💨💨
.
.
.
#Downhill #InlineSkate #Rollerblading #CFD #CarFreeDay #Sunday… https://t.co/wZXjuV074D"
807987647041994757,2016-12-11 16:37:21 +0000,achenbachart,Taking #bedhead #selfies with the #pets this morning. #sunday #iphoneography #atourhouse… https://t.co/P9N60F2RZW
807987643585806338,2016-12-11 16:37:20 +0000,blogwthroughit,"Getting my faith on. Ate a healthy, balanced meal and I plan on working out later. Got #Sunday in the palm of my hand."
807987631690838016,2016-12-11 16:37:17 +0000,ScoutRhyme,#sunday #bestofsunday #sundaymusic #bestmusic #weekend #weekenmusic #morning #SA #Boston #NewYork #Chicago #LA #Cali https://t.co/9u82Xq1B1x
807987611872526336,2016-12-11 16:37:13 +0000,LucyBurge1,Sunday afternoon feeling....#rapha #dachshund #sunday #evening… https://t.co/H9VY6cl8wI
807987597876297728,2016-12-11 16:37:09 +0000,TheBayHorsePub,Our very own @ellyssemason kicking things off #Sunday #sessions @TheBayHorsePub #acoustic #northernquarter https://t.co/RRwcDN6lEf
807987536979173378,2016-12-11 16:36:55 +0000,dlx_fr,Répéter les techniques et mouvements pour les maîtriser tout en bossant le mental. #sunday #training #kickboxing… https://t.co/5eawhDsjBh
807987483426299904,2016-12-11 16:36:42 +0000,TheShoeClub,Happy #sunday 😊 #theshoeclub #artessaatquarryvillage #quote #instaquote #quoteoftheday #texas… https://t.co/8LA4pDUgiW
807987464593960960,2016-12-11 16:36:37 +0000,gladysunquillo,RT @JakeBassItalia: Happy #Sunday to everyone ~^^ Buona domenica a tutti 😊 #model #JakeBass https://t.co/4I70cPCd4J
807987444385726464,2016-12-11 16:36:33 +0000,a_rani_k,"Hibernating on this wintery #Sunday. Plans include laundry, #HomeAlone marathon, and jambalaya for din din."
807987430188007425,2016-12-11 16:36:29 +0000,fuks69,RT @CWcharlesworth: Even more pondering about life...on a #Sunday #philosophyKiwi #love #life #kiwi #coffee #tea https://t.co/weA274HkI2
807987382213640192,2016-12-11 16:36:18 +0000,cloudoflavender,"The temptation to just open them all 🙈🎄
#lifestyleblogger #irishblogger #sunday #ireland… https://t.co/IHmMSD1gcM"
807987335614832640,2016-12-11 16:36:07 +0000,JeniferInc,"Hope #Americans are watching what's going on in their country; after watching the #Sunday shows, lots of heads in the sand #USpoli"
807987319294857216,2016-12-11 16:36:03 +0000,ITSupplierDeals,#deals #promo #offer #smartphones #itsupplierdeals #Sunday https://t.co/WnHpEYTJqg
807987318908973056,2016-12-11 16:36:03 +0000,The_Camellia,Happy Cold #Sunday from #TheCamellia in #ThunderBay #SlateRiver #Ontario. Open today from 12-5p. https://t.co/E98jRAJZiA
807987314844639233,2016-12-11 16:36:02 +0000,MaariBruno_,"🍃🌹🌞
#Sun #Sunday #Spring https://t.co/Vwy8UNusi9"
807987290484002816,2016-12-11 16:35:56 +0000,cross77ladylove,#Sweet #Sunday
807987274608738304,2016-12-11 16:35:52 +0000,1974thtcgb,RT @PawgSociety: #Sunday Bum-day 🍑 | pt. 3 #whooties #whooty #pawg #pawgsociety https://t.co/gP087ZDZ7r
807987246246674433,2016-12-11 16:35:45 +0000,nadiasoma,#mood 🛋#netflix #sunday #goodafternoon #photography #beautiful #domingo #followme #like4like… https://t.co/RW3WMZx1i8
807987244892123136,2016-12-11 16:35:45 +0000,ndaustin,#TODAY is here! fixmydick #CHRISTEENE grahamreynoldsmusic and #BROWNWHÒRNET #SUNDAY… https://t.co/hByZCqmyw8
807987244346667008,2016-12-11 16:35:45 +0000,Babs_BL,Sunday Brunch #aberdeen #sunday #brunch #sundayfunday #sundaybrunch @ Aberdeen https://t.co/qG3FWjQt9Q
807987236947927040,2016-12-11 16:35:43 +0000,FootballMaja,#sunday 🍰🍫#desserttime 🍰🍫#chocolatecake 🍰🍫#yummmmm 🍰🍫#delicious 😋 https://t.co/DswvIjgJLA
807987235165347841,2016-12-11 16:35:43 +0000,luciepgy,"😚
#angers #walk #sunday #view https://t.co/760v7Zeocv"
807987210762993664,2016-12-11 16:35:37 +0000,hleon71,"Día soleado..!! Sunday #sunday @ Bogotá, Colombia https://t.co/0S1oJwCcXH"
807987209446031360,2016-12-11 16:35:37 +0000,Triumph1293,"Watch ""Triumph Sunday service 12-11-16"" on YouTube - https://t.co/w6iDCljcwW #love #god #sundayservice #sunday #snowday"
807987207332040705,2016-12-11 16:35:36 +0000,Innovation_101,"Watch ""Triumph Sunday service 12-11-16"" on YouTube - https://t.co/FSeb1qHYIf #love #god #sundayservice #sunday #snowday"
807987172297113600,2016-12-11 16:35:28 +0000,InSouthFlorida,RT @SevenDialsMiami: Brunch drinks and dolphins game!!! Happy Sunday! #gofins #sunday #brunch #mimosa #sundayfunday https://t.co/JkNPbzeaRS
807987167666565120,2016-12-11 16:35:27 +0000,JoelMillon,RT @MissEvelynSnow: I hope everyone has had an amazing #Sunday! I'm loving the cold crisp weather... Perfect for stripping down for snu… https://t.co/eRr1RZKqhs
807987147995287553,2016-12-11 16:35:22 +0000,Fonomefonome,The Sky is blue #techno #acid #psyco #sky #sunday https://t.co/xgi0UM9ORY
