ID,Posted at,Screen name,Text
808171889809965056,2016-12-12 04:49:28 +0000,ScottBentley_3,Low body fat-ish #swimming #bodybuilding #physique #shoulders #traps #mma #size #arms #chest… https://t.co/8OP0YtWqoy
808171105336733697,2016-12-12 04:46:21 +0000,ScottBentley_3,Post run after Bright10 2015 #swimming #bodybuilding #physique #shoulders #traps #mma #size… https://t.co/zmKZl7SbE1
808170828655276032,2016-12-12 04:45:15 +0000,ScottBentley_3,Low body fat in this one  #swimming #bodybuilding #physique #shoulders #traps #mma #size #arms… https://t.co/10hZ7x325G
808170812536721408,2016-12-12 04:45:11 +0000,Swim_Bro,"Probably the best googles on Amazon! £26.99! #swimming
https://t.co/wNO1Scmd1h https://t.co/UEFMxXKbqN"
808170812381523969,2016-12-12 04:45:11 +0000,triathlon_bros,"Probably the best googles on Amazon! £26.99! #swimming
https://t.co/87Liw03KBm https://t.co/2jaSAk1EZR"
808170773940674560,2016-12-12 04:45:02 +0000,SwimWorkouts_,#swim #swimming Workout - Mid Distance Endurance Freestyle... https://t.co/uW4HdU8dtY #workout #fitness
808170425968562176,2016-12-12 04:43:39 +0000,ScottBentley_3,Drenched from my own sweat #swimming #bodybuilding #physique #shoulders #traps #mma #size #arms… https://t.co/edx9Jv9QYE
808169969359781888,2016-12-12 04:41:50 +0000,ScottBentley_3,An old full body pose pic . #swimming #bodybuilding #physique #shoulders #traps #mma #size #arms… https://t.co/igJWLocVNI
808169925344972801,2016-12-12 04:41:39 +0000,OlympicRio016,"RT @WOWOWParalympic: 🎂HAPPY HAPPY 25th BIRTHDAY TO Aussie @Paralympics #Swimming Champ @EllieVCole from team #WhoIAm👏

#Paralympics… https://t.co/zeMUPjgyJW"
808169628606332928,2016-12-12 04:40:29 +0000,WOWOWParalympic,"🎂HAPPY HAPPY 25th BIRTHDAY TO Aussie @Paralympics #Swimming Champ @EllieVCole from team #WhoIAm👏

#Paralympics… https://t.co/zeMUPjgyJW"
808168816802955264,2016-12-12 04:37:15 +0000,drjessechappus,#fina #swimming #windsor https://t.co/Oh3eqYJM2P
808168246826467330,2016-12-12 04:34:59 +0000,Paolagp29,I'm so proud of my #Nephew his first medal achieved in their swimming classes #Swimming #Baby… https://t.co/5RjeYqAQUj
808168101682540545,2016-12-12 04:34:25 +0000,swimnewsonly,"#swim #swimming Kelsi Worrell Gets Stitches, Leads USA to Gold #swimmer https://t.co/9utDqI3Bdw"
808168082480959489,2016-12-12 04:34:20 +0000,dawnismaximus,#Onthe12thdayofChrismas we found anther #babysanta #swimming #underwater #itsbeginningtolookalotlikechristmas... https://t.co/wiWSQOCsvT
808166482765107200,2016-12-12 04:27:59 +0000,swimnewsonly,#swim #swimming Simonas Bilis Wins 100 Freestyle Gold In New Lithuanian Record #swimmer https://t.co/gy4dexcmMV
808165844920520705,2016-12-12 04:25:27 +0000,DiveInRSA,Great career @zorzi_g topped with a World Champs Bronze. Thanks for the show 💪💪 #champ #legend #swimming
808165731401695232,2016-12-12 04:25:00 +0000,tataswimmer,Compartilhando só por causa do Michael Phelps. hehehe <3 #MichaelPhelps #swimming #natação https://t.co/2zxBNxBhtL
808165108295888896,2016-12-12 04:22:31 +0000,swimnewsonly,"#swim #swimming Rikako Ikee Lowers Japanese, Junior World Records In 100 Fly #swimmer https://t.co/xtLOsWONbo"
808164792624181248,2016-12-12 04:21:16 +0000,Shiyasfazal,Neenthisthastha 😎😂 #swimming sessions.. 🤓 https://t.co/X91ZEuRQYi
808163985409220610,2016-12-12 04:18:03 +0000,marycordero56,RT @barbierafunzel: I'm back 😊 what a happy bonding with my fam(teamlive) #relieved #sohapppy #enjoy #swimming
