ID,Posted at,Screen name,Text
807392576223395840,2016-12-10 01:12:45 +0000,OverthrowEnt,This #Thursday #December 15 #Hoodstock #HipHop #concert #NorthHollywood #CA #dj #billiards #bar #UniversalCity #UBG https://t.co/dCR0Qd94qG
807390445311524865,2016-12-10 01:04:17 +0000,TexGirlTreasure,RT @ZDBoutique: So Lifting by Chico's #Cropped #Jeans Size 3 XL 16 #Chicos #CapriCropped https://t.co/DVlfei1Zoz via @eBay #Thursday https://t.co/TbIqDb5nJy
807389920142626816,2016-12-10 01:02:12 +0000,DParkjobs,"#handicap #Thursday. When #holidays #shopping is the only thing on your #mind... ♿🎁
#philadelphia 
 #Pennsylvania… https://t.co/mTi05QIBG5"
807386617338097664,2016-12-10 00:49:04 +0000,Anna_MBOT,"RT @TheClarksonPump: 10$ #burgers, 5$ #beer and all you can watch football, every #Thursday! Make it a BBF night. https://t.co/WEaC6I06nm"
807385613028720641,2016-12-10 00:45:05 +0000,TriviaAD,"#BROOKLYN! #Elf #Trivia Night @BarrelandFareBK on #Thursday, 12/22 beginning at 8pm; https://t.co/Zc8muvWtek #Xmas"
807384719276945409,2016-12-10 00:41:32 +0000,lasttakepodcast,RT @MyWTFShow: Happy Faulkn #Thursday new #interview w @colebrax of @gknout @WrongReel #podcast #PodernFamily #film #actorslife https://t.co/NdTYqc0Pu4
807384566411436032,2016-12-10 00:40:55 +0000,noFelld,Hearing STewStuStoo @stushin Shinski on #Thursday on @WAMCRoundtable means he'll be on Sun 6pm #MediaProject
807382431489658880,2016-12-10 00:32:26 +0000,overwhelmmms,RT @projectnfinity: #Motivational #Quotes to get you going this #Thursday. https://t.co/oXtWzgXofQ
807380954809585664,2016-12-10 00:26:34 +0000,analperverd2,RT @PornPros: New scene for #Thursday ´´Undressed For Success´´ feat. @NinaNorth19 & @thejohnnycastle ! #PornPros… https://t.co/9aoVawWDfQ
807376519882383360,2016-12-10 00:08:57 +0000,ish7769,RT @IISuperwomanII: This next collab is... 😂 #12CollabsOfXmas #Thursday 💪🏽💪🏽
807376472902172673,2016-12-10 00:08:46 +0000,MagicVillageLDN,RT @anya_paul: Ridiculously pleasing #skyporn #sunrise #cloudporn #instasky #Thursday #PrimroseHill #Lond… https://t.co/bk64lsKjlc https://t.co/oXfyJnk9fa
807375929882222592,2016-12-10 00:06:36 +0000,Yeng857,RT @awilkinso: You want #meditation & #fitness ? #Thursday #TreatYoSelf BOTH concentrated #vinyasayoga 4:45pm @yogaworks #paloalto https://t.co/7rI49a0JVz
807373937239879680,2016-12-09 23:58:41 +0000,Fiamii95,Esto recién empieza 👸🎋 #desfile #robertopiazza #modelo #piazza #model #pasión #Thursday #dress… https://t.co/pgLyExggeF
807373845443252225,2016-12-09 23:58:19 +0000,dPilloRSF,"(Save the Date) • Mamma Club presents this  #thursday 15 #December to 
@donmiguelo 
Along with… https://t.co/lIWCElySRg"
807373269066280962,2016-12-09 23:56:02 +0000,dianeandeds,RT @ZDBoutique: So Lifting by Chico's #Cropped #Jeans Size 3 XL 16 #Chicos #CapriCropped https://t.co/DVlfei1Zoz via @eBay #Thursday https://t.co/TbIqDb5nJy
807372071974141952,2016-12-09 23:51:16 +0000,DavidJA26,RT @eden_levine: More on https://t.co/2MhrnfBRGw #salvadorena with #curves #latina #la #asian #blonde #thongthursday #boobs… https://t.co/htSf8r839I
807371734294798336,2016-12-09 23:49:56 +0000,kev6688,#Thursday morning it was -31* below zero in Casper WY
807369021129719809,2016-12-09 23:39:09 +0000,nehaxsharma,Anyone selling 2 standing drake Leeds tickets for Thursday? #leeds #thursday #standing
807368999595962368,2016-12-09 23:39:04 +0000,JokeUntranslatd,"""It's almost Thursday."" ""Yeah? What happens on #Thursday?"" ""...we THIRST."" #overheard"
807367503643049989,2016-12-09 23:33:07 +0000,franciscofeble2,"RT @carlosdartist: New!! 
""Stand up"" 
2016 
#ThursdayThoughts #NationalPoetryDay #art #collector #portrait #thursday #originalart… https://t.co/BB5YXkVQg7"
807367323363332097,2016-12-09 23:32:24 +0000,marisakateca,RT @ZDBoutique: So Lifting by Chico's #Cropped #Jeans Size 3 XL 16 #Chicos #CapriCropped https://t.co/DVlfei1Zoz via @eBay #Thursday https://t.co/TbIqDb5nJy
807366156332003328,2016-12-09 23:27:46 +0000,DudeImagineIf3,RT @MyWTFShow: Happy Faulkn #Thursday new #interview w @colebrax of @gknout @WrongReel #podcast #PodernFamily #film #actorslife https://t.co/NdTYqc0Pu4
807366112883122176,2016-12-09 23:27:36 +0000,PriPerez17,"Manekin Challenge 🚺🚹
#Thursday #friends #waterfight #HotOutside… https://t.co/m3chYpVdAO"
807365078353907715,2016-12-09 23:23:29 +0000,per444888,RT @Dorsetgirl24: #thong #thursday #tattoo #inked #lovemybum https://t.co/GLC5tIApBi
807364303368192000,2016-12-09 23:20:24 +0000,BitcoinAverage,"No longer #Thursday we now have #Starboy, congrats @theweeknd"
807363366511480832,2016-12-09 23:16:41 +0000,ItsMrVJ,RT @MyWTFShow: Happy Faulkn #Thursday new #interview w @colebrax of @gknout @WrongReel #podcast #PodernFamily #film #actorslife https://t.co/NdTYqc0Pu4
