ID,Posted at,Screen name,Text
808221541779410945,2016-12-12 08:06:46 +0000,Trader_Zero2,#Trump #treason https://t.co/VOAVke05b1
808221540303126529,2016-12-12 08:06:45 +0000,bumaeslr,"RT @johnjwillard: Un Enlightened Choices
#Clinton was a ethical economic disaster
#Trump is a ego enviromental disaster
America is on the economic cliff
So..."
808221537245548544,2016-12-12 08:06:45 +0000,Slrhcvocals,"RT @zlando: When your enemy is making mistakes.... let him
#DrainTheSwamp #MAGA #Trump https://t.co/ngQ7FMu7hg"
808221531851595776,2016-12-12 08:06:43 +0000,mikelallen6,RT @PeterTownsend7: The first step to Staying Safe? #trump #maga #isis #pjnet https://t.co/dT5rjyF4MC  https://t.co/jcO1xHBv6A
808221524847104000,2016-12-12 08:06:42 +0000,ShickerVicar,RT @haraldlaatsch: Weiltweit einmalig @welt @spiegel @zeitonline @ARDde @ZDF hetzen gleichzeitig gegen USA + Russland #Putin + #Trump https://t.co/FUAjzzaWoY
808221524016721921,2016-12-12 08:06:42 +0000,PeggyZ824,"RT @vivelafra: BIG 6: After criminally colluding with his opponent for 18 months, MSM is now trying to suggest #Trump had an unfai… https://t.co/S1WI4IklcX"
808221522208968704,2016-12-12 08:06:41 +0000,RevHMcK,"RT @debsellsslc: Hangin with my new friend @bradleywisk⚡️in #GrandRapids #Michigan,his home town. A Patriot,#Trump supporter, amazin… https://t.co/knfSY1EFJt"
808221517263884288,2016-12-12 08:06:40 +0000,pokerknave,"Who is your mother?
Our wonderful USA.

Who is your father?
Our great leader Trump.

What's your greatest desire?
Becoming an orphan. #trump"
808221516265623552,2016-12-12 08:06:40 +0000,PlayedBySataann,"RT @johnjwillard: #Trump is stuck in a time warp. He now shows his age in his socially unhip not cool vibe to the social & enviromental evolution .
#OldDog?!"
808221508002684928,2016-12-12 08:06:38 +0000,Euro_Faschismus,"#Neocon Whackjob #JohnBolton Comes Out in Defense of #Russia! #Trump #Republican #MAGA #USA 

https://t.co/8m5LWOuPZ2"
808221485861105664,2016-12-12 08:06:32 +0000,bethlhoskins,RT @immigrant4trump: Video: Reince Priebus Destroys Chuck Todd Over Russian Conspiracy Theories #Maga #Trump https://t.co/36MBZQjm4s
808221484170809344,2016-12-12 08:06:32 +0000,franginter,"RT @LadyDoc4Trump: Our ""president"" says NOTHING, NADA, ZERO about #Christian genocide by his Muslim brothers.

#Trump speaks #Truth on… https://t.co/ljJX6UjHpS"
808221466957320192,2016-12-12 08:06:28 +0000,hotmifi,RT @haraldlaatsch: Weiltweit einmalig @welt @spiegel @zeitonline @ARDde @ZDF hetzen gleichzeitig gegen USA + Russland #Putin + #Trump https://t.co/FUAjzzaWoY
808221440290025472,2016-12-12 08:06:22 +0000,Joemcconville8,"RT @DaysOfTrump: Make no mistake. #Trump wanted the loud approving cheers at the Army-Navy game to rattle in the brains of Soros, Hillary, Brennan et al."
808221433629446144,2016-12-12 08:06:20 +0000,tbolnad,"RT @johnjwillard: #Trump is stuck in a time warp. He now shows his age in his socially unhip not cool vibe to the social & enviromental evolution .
#OldDog?!"
808221430064132096,2016-12-12 08:06:19 +0000,RaviSirDelhi,RT @defaeroreport: Retired #USMC Maj. Gen. & The Punaro Group CEO @ArnoldLPunaro  on bipartisanship after #Trump's #election… https://t.co/P9aBPoXXGN
808221428759695361,2016-12-12 08:06:19 +0000,sasapetricic,"#China still taken aback by #Trump volleys, says 'seriously concerned' that #US may not accept 1-China policy, may give #Taiwan support #CBC"
808221426259890180,2016-12-12 08:06:18 +0000,Karaokegaoler,"RT @johnjwillard: Un Enlightened Choices
#Clinton was a ethical economic disaster
#Trump is a ego enviromental disaster
America is on the economic cliff
So..."
808221418332635136,2016-12-12 08:06:16 +0000,revolutia,RT @globaltimesnews: #Trump is a typical businessman - Chinese netizens comment on the president-elect questioning US commitment to the… https://t.co/IMEloB2ne8
808221407649927169,2016-12-12 08:06:14 +0000,TheTonyandTina,"Congratulations to the dark sea beast, awoken from its slumber that washed on shore, on the #Trump cabinet appointm… https://t.co/QtrYiBXAlD"
808221406957858816,2016-12-12 08:06:14 +0000,andregirouard,#Donald #Trump vs #Hillary #Clinton.  #EpicRapBattles of History. https://t.co/t0CeCE4ket
808221405879894016,2016-12-12 08:06:13 +0000,spanks69,RT @PeterTownsend7: The first step to Staying Safe? #trump #maga #isis #pjnet https://t.co/dT5rjyF4MC  https://t.co/jcO1xHBv6A
808221397227028480,2016-12-12 08:06:11 +0000,henklbr,:-) #Lectrr #trump #uselections #rusland #manipulatie #clinton #putin https://t.co/OKJBMBimPl
808221396266549248,2016-12-12 08:06:11 +0000,eshea70,RT @PeterTownsend7: The first step to Staying Safe? #trump #maga #isis #pjnet https://t.co/dT5rjyF4MC  https://t.co/jcO1xHBv6A
808221375831953408,2016-12-12 08:06:06 +0000,sconcerto,"RT @dw_environment: Despite #Trump, #USA moves forward on its energy transition. 12 of 24 insights into #renewableenergy in America.… https://t.co/WqlRdA2WLr"
808221369359962112,2016-12-12 08:06:05 +0000,eyeofthestory,"RT @cheriechancy: #Beijing slams #Trump for questioning longtime 'one-China' policy, calling him ""as ignorant of diplomacy as a child… https://t.co/nlp0SiAggY"
808221368584052737,2016-12-12 08:06:04 +0000,boygobong,RT @nick_dacosta: Brilliant Norwegian cartoon on #Trump https://t.co/H4amqJQCFe
808221360237477888,2016-12-12 08:06:02 +0000,bumaeslr,"RT @johnjwillard: #Trump is stuck in a time warp. He now shows his age in his socially unhip not cool vibe to the social & enviromental evolution .
#OldDog?!"
808221357163024384,2016-12-12 08:06:02 +0000,CampaignUSA2016,Chinese newspaper calls Trump naive after Taiwan comments... Via @KCStar https://t.co/3w3dPGNetF #trump #election2016
808221356101869568,2016-12-12 08:06:01 +0000,kkubanek,#Democrats Must Go Beyond Mere Opposition to #Trump https://t.co/3XOwjuLQiB via @BV
