ID,Posted at,Screen name,Text
807391303134834688,2016-12-10 01:07:41 +0000,WestlakeCars,Buy from Westlake Financial's 100+ car sale this #Tuesday at Rawls Auto Auction and you'll get to pick from Santa's Gift bag!
807387370244997120,2016-12-10 00:52:04 +0000,AnarcoEcologia,RT @enough14: #OverTheFortress #OpenBorders 3 refugees injured after they were shot in #Horgos #Serbia on #Tuesday https://t.co/O0bV9jzBEX #antifa #antira
807387272547016704,2016-12-10 00:51:40 +0000,pedioareos,RT @enough14: #OverTheFortress #OpenBorders 3 refugees injured after they were shot in #Horgos #Serbia on #Tuesday https://t.co/O0bV9jzBEX #antifa #antira
807383176586887169,2016-12-10 00:35:24 +0000,WestlakeCars,This #Tuesday stock up with Westlake units at Adesa Indianapolis and be entered to WIN all kinds of outdoor equipment!
807381684983332865,2016-12-10 00:29:28 +0000,WestlakeCars,We are having a 100+ car sale this #Tuesday at Manhiem Dallas Auto Auction don't miss out and come out and buy! https://t.co/USD6d9feXL
807381320930205696,2016-12-10 00:28:01 +0000,ton77v,RT @Wiki_Service: What happens when you fly a drone through fireworks!.... #fireworks #drones #Tuesday @mashable https://t.co/ydGYfQtwmb
807381171889930240,2016-12-10 00:27:26 +0000,Trancemeister,"RT @MissSarahTrance: Every #tuesday at 22:00pm London time am onair @liquidwebradio 
https://t.co/lg5IuBzSXI #trancefamily https://t.co/Xjc7y09ke1"
807380805811130368,2016-12-10 00:25:59 +0000,WestlakeCars,50 + units on the run-line for sale this #Tuesday at Adesa Golden Gate Auto Auction! https://t.co/OIleIJm5CX
807380770591571968,2016-12-10 00:25:50 +0000,EJRRadio,Every #tuesday #unplugged new #promos #productions starting at 12 EST https://t.co/98do9hewBP @EJRRadio RT https://t.co/LHdRbhcOon
807378103060361216,2016-12-10 00:15:14 +0000,MissSarahTrance,"Every #tuesday at 22:00pm London time am onair @liquidwebradio 
https://t.co/lg5IuBzSXI #trancefamily https://t.co/Xjc7y09ke1"
807375641146523649,2016-12-10 00:05:27 +0000,Aalmeidasousa,@BURAKYETER any doubt? #Tuesday
807374953771368448,2016-12-10 00:02:43 +0000,DentalJobsBoard,RT @familyfirst_llc: Happy Toothsday! #Tuesday #Dental #Alaska
807367252307808256,2016-12-09 23:32:07 +0000,VilisBlairAthol,#Tuesday #breakfast or #brunch come and visit us! We have a great breakfast #menu to suit everyone! #pancakes… https://t.co/r7mj75d0v8
807366932844269568,2016-12-09 23:30:51 +0000,EastRim,#Navajo panel#cancels #Tuesday’s# Grand Canyon #Escalade meeting https://t.co/QbzcTtGXK7 via @
807363402175651841,2016-12-09 23:16:49 +0000,EnzoRealty,"RT @gcranaudo: Over 6,200 views in Zillow alone in less than 48 hrs. #openhouse #tuesday #greatvalue #marvista #townhome... https://t.co/MMcm2PAxUp"
807362061055496192,2016-12-09 23:11:30 +0000,DawnHaagenson,RT @wfnx1990: I say give all #refugee $$$$$ for next 10 years to #VETERANS & VA Hospitals instead! #GrammyNominations #ThisIsUs… https://t.co/mdYmKNpRHq
807357297815093248,2016-12-09 22:52:34 +0000,BlackBox_Hacker,RT @JoeLatimer: #terminator #tuesday #notathing #poster #digitalart #painting #photoshop #composite #prints #joelatimer https://t.co/UaakcrfprU
807356566462664705,2016-12-09 22:49:40 +0000,striptizlouisa,RT @DrakeFanatix: 😂 #Drake #Tuesday https://t.co/rgT5yeluQb
807354736106147840,2016-12-09 22:42:23 +0000,Lynn734art,RT @AilsaBlack: That's all my #Tuesday orders away in the post thanks everyone! Here is a chirpy #blackbird for you! #art https://t.co/L7JyaUK3GW
807354195389149185,2016-12-09 22:40:14 +0000,HarvellesLB,"Catch @dustin_ybarra this #Tuesday 8pm @harvelleslb 
#LongBeach #Comedy #Burlesque https://t.co/1IdhglZeqy"
807352213530144768,2016-12-09 22:32:22 +0000,investinjewelry,RT Wedding Band | 4x1 Flat Wedding Ring #handmade #ring #tuesday #infinity #ringset #diamondring $480.00 ➤… twitte… https://t.co/pJbAmeAF3w
807343718109880320,2016-12-09 21:58:36 +0000,TMLoarie,"Former #Cosmopoitan writer #SueEllenBrowder on the the #AltLeft #Feminist movement, #Tuesday in #Danville https://t.co/w9z97LKkmm"
807343516045164544,2016-12-09 21:57:48 +0000,OutShotTunisia,#Future Is #Now By #Club #Tunivisions #Essect. #Tuesday #December 13 at 12 PM - 4:30 PM In Essect montfleury. #تونس… https://t.co/QQfhCdPAYj
807342798928314368,2016-12-09 21:54:57 +0000,AuthorsCare,"The Write Stuff with @ParkerJCole on every #Tuesday. #writerslife, #writing, #author, #Marketing, #marketingtips.… https://t.co/5reCdqR7Yo"
807341206317441024,2016-12-09 21:48:37 +0000,drew_bizzl,RT @DrakeFanatix: 😂 #Drake #Tuesday https://t.co/rgT5yeluQb
807340877836230656,2016-12-09 21:47:19 +0000,Aarron_Laidig,"RT @rebeccadrawsart: Plumage on my #birdgirl
#art #contemporaryart #niaveart #plumage #bird #feathers #tuesday #artist #acrylicpainting https://t.co/9TwHmaKP49"
807335793853431813,2016-12-09 21:27:07 +0000,LongBeachComedy,"Catch @dustin_ybarra this #Tuesday 8pm @harvelleslb 
#LongBeach #Comedy #Burlesque @ Harvelle's… https://t.co/MEV9DyoMzW"
807334304170786817,2016-12-09 21:21:12 +0000,shopluxuring,"Wedding Band | 4x1 Flat Wedding Ring #handmade #ring #tuesday #infinity #ringset #diamondring
$480.00
➤… https://t.co/WIoP7DTrwW"
807331471950278657,2016-12-09 21:09:57 +0000,JohnNayLasha,This #Tuesday I can guarantee a good time! 😈😈😈 #JohnNayLasha #SpecialGuests #sagittarius djrip1… https://t.co/4OvgadwPc4
807331204269834242,2016-12-09 21:08:53 +0000,YsabelleCharest,"RT @IWBTeam: Every 7 MINUTES a child is bullied. 160,000 children miss school everyday due to bullying. #bullying #tuesday #reality #Trump #StopSuicide"
807330677876199424,2016-12-09 21:06:47 +0000,TMR247,"RT @MalliardReport: Chat available every #Tuesday starting @ 8PM ET
#MalliardReport come see what we have to say!
#Paranormal duck pond https://t.co/YlljdaqfR3"
807329915381186561,2016-12-09 21:03:45 +0000,thejennywelsh,"RT @mactak95: It's #troopertuesday

Featuring @thejennywelsh 

#Tuesday #Tuesdayitis #StarWars https://t.co/KaekwModqP"
807329598262431745,2016-12-09 21:02:30 +0000,MalliardReport,"Chat available every #Tuesday starting @ 8PM ET
#MalliardReport come see what we have to say!
#Paranormal duck pond https://t.co/YlljdaqfR3"
807329245739581441,2016-12-09 21:01:06 +0000,ToastBmth,If you want to get your hands on £300 worth of high street shopping vouchers then make sure you get down to #Toast… https://t.co/hLpA0igLbr
807328979598372864,2016-12-09 21:00:02 +0000,TriviaAD,"piVOT yourself to #Friends #Trivia at Abbey Tavern this #Tuesday, 12/13 starting at 8pm; https://t.co/GvTWBSgbyb #NYC"
807327275175866368,2016-12-09 20:53:16 +0000,DentalJobsBoard,RT @THopperDMD: #Fun #Tuesday here at the office 💖#Austell #Best #Dental #Family #Team #Healthy #Smile https://t.co/KL14PzudXP
807326776393240576,2016-12-09 20:51:17 +0000,katerickey,"RT @bluesanctuary3: Good morning ☕
   @armandodroghet3 
Cozy #Tuesday my friend 🎄 https://t.co/2rNVpr5cH1"
807326191191461888,2016-12-09 20:48:58 +0000,tweetaddict33,RT @VOETBALSHIRTS15: #Casino https://t.co/JdqhBCjFE1 #nowplaying #Monday #Tuesday #Wednesday #Thursday #Friday #Saterday #Free #Freespins #Football #retweet #win
807326080298340352,2016-12-09 20:48:31 +0000,RvCarFrance,"RT @LisaSparkle_US: #Tuesday 
One more day....
One more blessing. https://t.co/0GovP2ZQiI"
807326022928629760,2016-12-09 20:48:17 +0000,VOETBALSHIRTS15,#Casino https://t.co/JdqhBCjFE1 #nowplaying #Monday #Tuesday #Wednesday #Thursday #Friday #Saterday #Free #Freespins #Football #retweet #win
807325849934565376,2016-12-09 20:47:36 +0000,PeterMachajdik,♫ Weekend _ Listen https://t.co/sgYbelic2y _ @PeterMachajdik Gravity #minimal #minimalismus #newmuisic #Tuesday https://t.co/msKsM4xQLG
